project,year,fellow,region,match,corrected
"
              To investigate landscaping practices and plant selection for ornamental horticulture within dry climates - UK, Spain, Greece, Cyprus, Netherlands, France
",2010,"RYAN, Marcus",Greece,yes,Greece
"
              To investigate landscaping practices and plant selection for ornamental horticulture within dry climates - UK, Spain, Greece, Cyprus, Netherlands, France
",2010,"RYAN, Marcus",Cyprus,yes,Cyprus
"
              To investigate landscaping practices and plant selection for ornamental horticulture within dry climates - UK, Spain, Greece, Cyprus, Netherlands, France
",2010,"RYAN, Marcus",Netherlands,yes,Netherlands
"
              To investigate landscaping practices and plant selection for ornamental horticulture within dry climates - UK, Spain, Greece, Cyprus, Netherlands, France
",2010,"RYAN, Marcus",France,yes,France
"
              To undertake a comparative study of diversity skills training and human rights integration in policing organisations - USA, Lebanon, United Arab Emirates, UK
",2010,"SABA, Judy",USA,yes,USA
"
              To undertake a comparative study of diversity skills training and human rights integration in policing organisations - USA, Lebanon, United Arab Emirates, UK
",2010,"SABA, Judy",Lebanon,yes,Lebanon
"
              To undertake a comparative study of diversity skills training and human rights integration in policing organisations - USA, Lebanon, United Arab Emirates, UK
",2010,"SABA, Judy",United Arab Emirates,yes,United Arab Emirates
"
              To undertake a comparative study of diversity skills training and human rights integration in policing organisations - USA, Lebanon, United Arab Emirates, UK
",2010,"SABA, Judy",UK,yes,UK
"
              The Dr Dorothea Sandars and Irene Lee Churchill Fellowship to explore leading palliative care volunteer service models to ensure volunteer service and resource development in Australia is sustainable - Singapore, UK, USA, Canada
",2010,"SALAU, Susan",Singapore,yes,Singapore
"
              The Dr Dorothea Sandars and Irene Lee Churchill Fellowship to explore leading palliative care volunteer service models to ensure volunteer service and resource development in Australia is sustainable - Singapore, UK, USA, Canada
",2010,"SALAU, Susan",UK,yes,UK
"
              The Dr Dorothea Sandars and Irene Lee Churchill Fellowship to explore leading palliative care volunteer service models to ensure volunteer service and resource development in Australia is sustainable - Singapore, UK, USA, Canada
",2010,"SALAU, Susan",USA,yes,USA
"
              The Dr Dorothea Sandars and Irene Lee Churchill Fellowship to explore leading palliative care volunteer service models to ensure volunteer service and resource development in Australia is sustainable - Singapore, UK, USA, Canada
",2010,"SALAU, Susan",Canada,yes,Canada
"
              To study Shakespeare in community theatre under the mentorship of Janet Buckland and Ubom! Drama Company - South Africa, UK
",2010,"SAVIGE, Francesca",South Africa,yes,South Africa
"
              To study Shakespeare in community theatre under the mentorship of Janet Buckland and Ubom! Drama Company - South Africa, UK
",2010,"SAVIGE, Francesca",UK,yes,UK
"
              To explore the use of innovative airborne policing methods to reduce death and serious injury on rural roads - USA, Canada, UK, France
",2010,"SCUTCHINGS, David",USA,yes,USA
"
              To explore the use of innovative airborne policing methods to reduce death and serious injury on rural roads - USA, Canada, UK, France
",2010,"SCUTCHINGS, David",Canada,yes,Canada
"
              To explore the use of innovative airborne policing methods to reduce death and serious injury on rural roads - USA, Canada, UK, France
",2010,"SCUTCHINGS, David",UK,yes,UK
"
              To explore the use of innovative airborne policing methods to reduce death and serious injury on rural roads - USA, Canada, UK, France
",2010,"SCUTCHINGS, David",France,yes,France
"
              To assess methods for providing professional information to community based alcohol and other drug workers - UK, USA, Canada
",2010,"SHELLING, Jane",UK,yes,UK
"
              To assess methods for providing professional information to community based alcohol and other drug workers - UK, USA, Canada
",2010,"SHELLING, Jane",USA,yes,USA
"
              To assess methods for providing professional information to community based alcohol and other drug workers - UK, USA, Canada
",2010,"SHELLING, Jane",Canada,yes,Canada
"
              To investigate the structures and language maintenance programming of international Indigenous media organisations - Norway, Canada
",2010,"SMALLACOMBE, Penny",Norway,yes,Norway
"
              To investigate the structures and language maintenance programming of international Indigenous media organisations - Norway, Canada
",2010,"SMALLACOMBE, Penny",Canada,yes,Canada
"
              The Dame Roma Mitchell Churchill Fellowship to analyse aspects of artistic direction in music which positively influence audience engagement and education - UK, Netherlands, Belgium, Canada, Croatia
",2010,"SMART, Gabriella",UK,yes,UK
"
              The Dame Roma Mitchell Churchill Fellowship to analyse aspects of artistic direction in music which positively influence audience engagement and education - UK, Netherlands, Belgium, Canada, Croatia
",2010,"SMART, Gabriella",Netherlands,yes,Netherlands
"
              The Dame Roma Mitchell Churchill Fellowship to analyse aspects of artistic direction in music which positively influence audience engagement and education - UK, Netherlands, Belgium, Canada, Croatia
",2010,"SMART, Gabriella",Belgium,yes,Belgium
"
              The Dame Roma Mitchell Churchill Fellowship to analyse aspects of artistic direction in music which positively influence audience engagement and education - UK, Netherlands, Belgium, Canada, Croatia
",2010,"SMART, Gabriella",Canada,yes,Canada
"
              The Dame Roma Mitchell Churchill Fellowship to analyse aspects of artistic direction in music which positively influence audience engagement and education - UK, Netherlands, Belgium, Canada, Croatia
",2010,"SMART, Gabriella",Croatia,yes,Croatia
"
              To examine entrepreneurial programs with the aim of identifying areas that can be applied to Australian programs - USA, UK
",2010,"SMITH, Daniel",USA,yes,USA
"
              To examine entrepreneurial programs with the aim of identifying areas that can be applied to Australian programs - USA, UK
",2010,"SMITH, Daniel",UK,yes,UK
"
              To study the design and manufacture of cutlery - UK, Denmark, South Korea
",2010,"SMITH, Oliver",UK,yes,UK
"
              To study the design and manufacture of cutlery - UK, Denmark, South Korea
",2010,"SMITH, Oliver",Denmark,yes,Denmark
"
              To study the design and manufacture of cutlery - UK, Denmark, South Korea
",2010,"SMITH, Oliver",South Korea,yes,South Korea
"
              To study sustainable seaport design, development and operation - Singapore, China, UK, Netherlands, USA, Canada
",2010,"SPROTT, Jason",Singapore,yes,Singapore
"
              To study sustainable seaport design, development and operation - Singapore, China, UK, Netherlands, USA, Canada
",2010,"SPROTT, Jason",China,yes,China
"
              To study sustainable seaport design, development and operation - Singapore, China, UK, Netherlands, USA, Canada
",2010,"SPROTT, Jason",UK,yes,UK
"
              To study sustainable seaport design, development and operation - Singapore, China, UK, Netherlands, USA, Canada
",2010,"SPROTT, Jason",Netherlands,yes,Netherlands
"
              To study sustainable seaport design, development and operation - Singapore, China, UK, Netherlands, USA, Canada
",2010,"SPROTT, Jason",USA,yes,USA
"
              To study sustainable seaport design, development and operation - Singapore, China, UK, Netherlands, USA, Canada
",2010,"SPROTT, Jason",Canada,yes,Canada
"
              To study programs for recovering the spirit of combat veterans and those with Post Traumatic Stress Disorder - USA, Canada
",2010,"SUTHERLAND, Robert",USA,yes,USA
"
              To study programs for recovering the spirit of combat veterans and those with Post Traumatic Stress Disorder - USA, Canada
",2010,"SUTHERLAND, Robert",Canada,yes,Canada
"
              To investigate the provision of education and settlement services for primary school refugee children and their families - UK, Norway, Denmark, USA, Canada
",2010,"Thompson (Now Abbott), Clare",UK,yes,UK
"
              To investigate the provision of education and settlement services for primary school refugee children and their families - UK, Norway, Denmark, USA, Canada
",2010,"Thompson (Now Abbott), Clare",Norway,yes,Norway
"
              To investigate the provision of education and settlement services for primary school refugee children and their families - UK, Norway, Denmark, USA, Canada
",2010,"Thompson (Now Abbott), Clare",Denmark,yes,Denmark
"
              To investigate the provision of education and settlement services for primary school refugee children and their families - UK, Norway, Denmark, USA, Canada
",2010,"Thompson (Now Abbott), Clare",USA,yes,USA
"
              To investigate the provision of education and settlement services for primary school refugee children and their families - UK, Norway, Denmark, USA, Canada
",2010,"Thompson (Now Abbott), Clare",Canada,yes,Canada
"
              The Gallaugher Bequest Churchill Fellowship to conduct research into post-industrial sites for community development and geo-tourism opportunities - Italy, Germany, Spain, UK
",2010,"TIDDY, Travis",Italy,yes,Italy
"
              The Gallaugher Bequest Churchill Fellowship to conduct research into post-industrial sites for community development and geo-tourism opportunities - Italy, Germany, Spain, UK
",2010,"TIDDY, Travis",Germany,yes,Germany
"
              The Gallaugher Bequest Churchill Fellowship to conduct research into post-industrial sites for community development and geo-tourism opportunities - Italy, Germany, Spain, UK
",2010,"TIDDY, Travis",Spain,yes,Spain
"
              The Gallaugher Bequest Churchill Fellowship to conduct research into post-industrial sites for community development and geo-tourism opportunities - Italy, Germany, Spain, UK
",2010,"TIDDY, Travis",UK,yes,UK
"
              To study the development of subsecond neurotransmitter monitoring techniques for behavioural research and neurosurgical procedures - USA
",2010,"TYE, Susannah",USA,yes,USA
"
              To investigate new initiatives in the implementation of online learning tools in education - UK, Singapore, USA
",2010,"WARGREN, Grant",UK,yes,UK
"
              To investigate new initiatives in the implementation of online learning tools in education - UK, Singapore, USA
",2010,"WARGREN, Grant",Singapore,yes,Singapore
"
              To investigate new initiatives in the implementation of online learning tools in education - UK, Singapore, USA
",2010,"WARGREN, Grant",USA,yes,USA
"
              To study the origins of patterns and their relation to 3Dimensional spaces and objects - Japan, China, Hong Kong, Turkey, UK
",2010,"WATERSON, Christina",Japan,yes,Japan
"
              To study the origins of patterns and their relation to 3Dimensional spaces and objects - Japan, China, Hong Kong, Turkey, UK
",2010,"WATERSON, Christina",China,yes,China
"
              To study the origins of patterns and their relation to 3Dimensional spaces and objects - Japan, China, Hong Kong, Turkey, UK
",2010,"WATERSON, Christina",Turkey,yes,Turkey
"
              To study the origins of patterns and their relation to 3Dimensional spaces and objects - Japan, China, Hong Kong, Turkey, UK
",2010,"WATERSON, Christina",UK,yes,UK
"
              To explore innovative production, distribution practices and content creation within independent American cinema - USA, UK
",2010,"WATTS, Elizabeth",USA,yes,USA
"
              To explore innovative production, distribution practices and content creation within independent American cinema - USA, UK
",2010,"WATTS, Elizabeth",UK,yes,UK
"
              To investigate world production of vegetable seeds within the framework of possible widespread shortages - USA, France, Netherlands, South Africa
",2010,"WEDDELL, Lincoln",USA,yes,USA
"
              To investigate world production of vegetable seeds within the framework of possible widespread shortages - USA, France, Netherlands, South Africa
",2010,"WEDDELL, Lincoln",France,yes,France
"
              To investigate world production of vegetable seeds within the framework of possible widespread shortages - USA, France, Netherlands, South Africa
",2010,"WEDDELL, Lincoln",Netherlands,yes,Netherlands
"
              To investigate world production of vegetable seeds within the framework of possible widespread shortages - USA, France, Netherlands, South Africa
",2010,"WEDDELL, Lincoln",South Africa,yes,South Africa
"
              The Jeannie Ferris, National Centre for Gynaecological Cancers Consumer Churchill Fellowship to investigate strategies used to help women diagnosed with ovarian cancer in terms of 'survivorship' - USA
",2010,"WILLIAMS, Merran",USA,yes,USA
"
              The Stuart and Norma Leslie Churchill Fellowship to undertake lessons and assist renowned conductors and leading European and American Orchestras - UK, Germany, Russia, Ukraine, Norway, USA
",2010,"WILLIAMS, Sarah-Grace",UK,yes,UK
"
              The Stuart and Norma Leslie Churchill Fellowship to undertake lessons and assist renowned conductors and leading European and American Orchestras - UK, Germany, Russia, Ukraine, Norway, USA
",2010,"WILLIAMS, Sarah-Grace",Germany,yes,Germany
"
              The Stuart and Norma Leslie Churchill Fellowship to undertake lessons and assist renowned conductors and leading European and American Orchestras - UK, Germany, Russia, Ukraine, Norway, USA
",2010,"WILLIAMS, Sarah-Grace",Russia,yes,Russia
"
              The Stuart and Norma Leslie Churchill Fellowship to undertake lessons and assist renowned conductors and leading European and American Orchestras - UK, Germany, Russia, Ukraine, Norway, USA
",2010,"WILLIAMS, Sarah-Grace",Ukraine,yes,Ukraine
"
              The Stuart and Norma Leslie Churchill Fellowship to undertake lessons and assist renowned conductors and leading European and American Orchestras - UK, Germany, Russia, Ukraine, Norway, USA
",2010,"WILLIAMS, Sarah-Grace",Norway,yes,Norway
"
              The Stuart and Norma Leslie Churchill Fellowship to undertake lessons and assist renowned conductors and leading European and American Orchestras - UK, Germany, Russia, Ukraine, Norway, USA
",2010,"WILLIAMS, Sarah-Grace",USA,yes,USA
"
              The Jack Brockhoff Foundation Churchill Fellowship to research advanced communication for the Deafblind community - USA, Finland
",2010,"WITCOMBE, Dennis",USA,yes,USA
"
              The Jack Brockhoff Foundation Churchill Fellowship to research advanced communication for the Deafblind community - USA, Finland
",2010,"WITCOMBE, Dennis",Finland,yes,Finland
"
              To study physiotherapy techniques for people with Cystic Fibrosis and Bronchiectasis - UK, Sweden, Belgium
",2010,"WOOD, Jamie",UK,yes,UK
"
              To study physiotherapy techniques for people with Cystic Fibrosis and Bronchiectasis - UK, Sweden, Belgium
",2010,"WOOD, Jamie",Sweden,yes,Sweden
"
              To study physiotherapy techniques for people with Cystic Fibrosis and Bronchiectasis - UK, Sweden, Belgium
",2010,"WOOD, Jamie",Belgium,yes,Belgium
"
              The Sir William Kilpatrick Churchill Fellowship to study methods for initiating cultural change regarding alcohol consumption - UK, Ireland
",2010,"WRIGHT, Clancy",UK,yes,UK
"
              The Sir William Kilpatrick Churchill Fellowship to study methods for initiating cultural change regarding alcohol consumption - UK, Ireland
",2010,"WRIGHT, Clancy",Ireland,yes,Ireland
"
              The A.C.T. Government Audrey Fagan Churchill Fellowship to study programs that assist women whose parenting has been compromised by violence - USA, Canada, UK
",2009,"ALCHIN, Josephine",USA,yes,USA
"
              The A.C.T. Government Audrey Fagan Churchill Fellowship to study programs that assist women whose parenting has been compromised by violence - USA, Canada, UK
",2009,"ALCHIN, Josephine",Canada,yes,Canada
"
              The A.C.T. Government Audrey Fagan Churchill Fellowship to study programs that assist women whose parenting has been compromised by violence - USA, Canada, UK
",2009,"ALCHIN, Josephine",UK,yes,UK
"
              To study contemporary challenges faced by professionals working within the child protection field - UK, Norway, USA
",2009,"ALEXANDER PSM, Katherine",UK,yes,UK
"
              To study contemporary challenges faced by professionals working within the child protection field - UK, Norway, USA
",2009,"ALEXANDER PSM, Katherine",Norway,yes,Norway
"
              To study contemporary challenges faced by professionals working within the child protection field - UK, Norway, USA
",2009,"ALEXANDER PSM, Katherine",USA,yes,USA
"
              To study Indigenous community education and leadership - Canada
",2009,"ANDERSON, Lisa",Canada,yes,Canada
"
              The Dr Dorothea Sandars Churchill Fellowship to investigate innovation in physiotherapy for children with acquired spinal cord injury - USA, Canada, UK, Italy
",2009,"BAKER, Isabel",USA,yes,USA
"
              The Dr Dorothea Sandars Churchill Fellowship to investigate innovation in physiotherapy for children with acquired spinal cord injury - USA, Canada, UK, Italy
",2009,"BAKER, Isabel",Canada,yes,Canada
"
              The Dr Dorothea Sandars Churchill Fellowship to investigate innovation in physiotherapy for children with acquired spinal cord injury - USA, Canada, UK, Italy
",2009,"BAKER, Isabel",UK,yes,UK
"
              The Dr Dorothea Sandars Churchill Fellowship to investigate innovation in physiotherapy for children with acquired spinal cord injury - USA, Canada, UK, Italy
",2009,"BAKER, Isabel",Italy,yes,Italy
"
              To study sexual assault prevention and intervention in a military environment - USA, Canada, UK
",2009,"BALLARD, Angela",USA,yes,USA
"
              To study sexual assault prevention and intervention in a military environment - USA, Canada, UK
",2009,"BALLARD, Angela",Canada,yes,Canada
"
              To study sexual assault prevention and intervention in a military environment - USA, Canada, UK
",2009,"BALLARD, Angela",UK,yes,UK
"
              The Phyllis Primrose Whyte Churchill Fellowship to study the structure and pedagogy of targeted school and community-focused science outreach programs - Singapore, Japan, USA, UK
",2009,"BANHAM, Brenton",Singapore,yes,Singapore
"
              The Phyllis Primrose Whyte Churchill Fellowship to study the structure and pedagogy of targeted school and community-focused science outreach programs - Singapore, Japan, USA, UK
",2009,"BANHAM, Brenton",Japan,yes,Japan
"
              The Phyllis Primrose Whyte Churchill Fellowship to study the structure and pedagogy of targeted school and community-focused science outreach programs - Singapore, Japan, USA, UK
",2009,"BANHAM, Brenton",USA,yes,USA
"
              The Phyllis Primrose Whyte Churchill Fellowship to study the structure and pedagogy of targeted school and community-focused science outreach programs - Singapore, Japan, USA, UK
",2009,"BANHAM, Brenton",UK,yes,UK
"
              The Gallaugher Bequest Churchill Fellowship to study the practice of aural development strategies in vocal performance and teaching - Hungary, Finland, UK
",2009,"BASHFORD, Gina",Hungary,yes,Hungary
"
              The Gallaugher Bequest Churchill Fellowship to study the practice of aural development strategies in vocal performance and teaching - Hungary, Finland, UK
",2009,"BASHFORD, Gina",Finland,yes,Finland
"
              The Gallaugher Bequest Churchill Fellowship to study the practice of aural development strategies in vocal performance and teaching - Hungary, Finland, UK
",2009,"BASHFORD, Gina",UK,yes,UK
"
              To study the breeding of bees that are resistant to the parasitic mite Varroa - New Zealand, USA, France, Germany, Portugal, UK
",2009,"BATES, Tiffane",New Zealand,yes,New Zealand
"
              To study the breeding of bees that are resistant to the parasitic mite Varroa - New Zealand, USA, France, Germany, Portugal, UK
",2009,"BATES, Tiffane",USA,yes,USA
"
              To study the breeding of bees that are resistant to the parasitic mite Varroa - New Zealand, USA, France, Germany, Portugal, UK
",2009,"BATES, Tiffane",France,yes,France
"
              To study the breeding of bees that are resistant to the parasitic mite Varroa - New Zealand, USA, France, Germany, Portugal, UK
",2009,"BATES, Tiffane",Germany,yes,Germany
"
              To study the breeding of bees that are resistant to the parasitic mite Varroa - New Zealand, USA, France, Germany, Portugal, UK
",2009,"BATES, Tiffane",Portugal,yes,Portugal
"
              To study the breeding of bees that are resistant to the parasitic mite Varroa - New Zealand, USA, France, Germany, Portugal, UK
",2009,"BATES, Tiffane",UK,yes,UK
"
              To examine the role of museums in assisting communities to recover from traumatic events and experiences - USA, UK, Ireland, Netherlands, Germany, South Africa
",2009,"BESLEY, Joanna",USA,yes,USA
"
              To examine the role of museums in assisting communities to recover from traumatic events and experiences - USA, UK, Ireland, Netherlands, Germany, South Africa
",2009,"BESLEY, Joanna",UK,yes,UK
"
              To examine the role of museums in assisting communities to recover from traumatic events and experiences - USA, UK, Ireland, Netherlands, Germany, South Africa
",2009,"BESLEY, Joanna",Ireland,yes,Ireland
"
              To examine the role of museums in assisting communities to recover from traumatic events and experiences - USA, UK, Ireland, Netherlands, Germany, South Africa
",2009,"BESLEY, Joanna",Netherlands,yes,Netherlands
"
              To examine the role of museums in assisting communities to recover from traumatic events and experiences - USA, UK, Ireland, Netherlands, Germany, South Africa
",2009,"BESLEY, Joanna",Germany,yes,Germany
"
              To examine the role of museums in assisting communities to recover from traumatic events and experiences - USA, UK, Ireland, Netherlands, Germany, South Africa
",2009,"BESLEY, Joanna",South Africa,yes,South Africa
"
              To study screen writing and its role in the film production process - USA, Germany, UK
",2009,"BLYTH, Matthew",USA,yes,USA
"
              To study screen writing and its role in the film production process - USA, Germany, UK
",2009,"BLYTH, Matthew",Germany,yes,Germany
"
              To study screen writing and its role in the film production process - USA, Germany, UK
",2009,"BLYTH, Matthew",UK,yes,UK
"
              The Dame Roma Mitchell Churchill Fellowship to study the use of improvisation in teaching classical music - UK
",2009,"BOCHNER, Nicholas",UK,yes,UK
"
              To undertake a review of innovation in court based information, support and referral services - USA, Canada, UK, Netherlands, France, Switzerland, Italy, New Zealand, Cambodia
",2009,"BOLTO, Nicholas",USA,yes,USA
"
              To undertake a review of innovation in court based information, support and referral services - USA, Canada, UK, Netherlands, France, Switzerland, Italy, New Zealand, Cambodia
",2009,"BOLTO, Nicholas",Canada,yes,Canada
"
              To undertake a review of innovation in court based information, support and referral services - USA, Canada, UK, Netherlands, France, Switzerland, Italy, New Zealand, Cambodia
",2009,"BOLTO, Nicholas",UK,yes,UK
"
              To undertake a review of innovation in court based information, support and referral services - USA, Canada, UK, Netherlands, France, Switzerland, Italy, New Zealand, Cambodia
",2009,"BOLTO, Nicholas",Netherlands,yes,Netherlands
"
              To undertake a review of innovation in court based information, support and referral services - USA, Canada, UK, Netherlands, France, Switzerland, Italy, New Zealand, Cambodia
",2009,"BOLTO, Nicholas",France,yes,France
"
              To undertake a review of innovation in court based information, support and referral services - USA, Canada, UK, Netherlands, France, Switzerland, Italy, New Zealand, Cambodia
",2009,"BOLTO, Nicholas",Switzerland,yes,Switzerland
"
              To undertake a review of innovation in court based information, support and referral services - USA, Canada, UK, Netherlands, France, Switzerland, Italy, New Zealand, Cambodia
",2009,"BOLTO, Nicholas",Italy,yes,Italy
"
              To undertake a review of innovation in court based information, support and referral services - USA, Canada, UK, Netherlands, France, Switzerland, Italy, New Zealand, Cambodia
",2009,"BOLTO, Nicholas",New Zealand,yes,New Zealand
"
              To undertake a review of innovation in court based information, support and referral services - USA, Canada, UK, Netherlands, France, Switzerland, Italy, New Zealand, Cambodia
",2009,"BOLTO, Nicholas",Cambodia,yes,Cambodia
"
              To study methods for promoting wellbeing within the medical profession - U.K., Norway, Canada, USA
",2009,"BONNING, Michael",UK,yes,UK
"
              To study methods for promoting wellbeing within the medical profession - U.K., Norway, Canada, USA
",2009,"BONNING, Michael",Norway,yes,Norway
"
              To study methods for promoting wellbeing within the medical profession - U.K., Norway, Canada, USA
",2009,"BONNING, Michael",Canada,yes,Canada
"
              To study methods for promoting wellbeing within the medical profession - U.K., Norway, Canada, USA
",2009,"BONNING, Michael",USA,yes,USA
"
              To visit centres of excellence in brain injury rehabilitation to gain knowledge and experience of new rehabilitation approaches - USA, UK, Netherlands, Denmark, Germany
",2009,"BORNHOFEN PhD, Cristina",USA,yes,USA
"
              To visit centres of excellence in brain injury rehabilitation to gain knowledge and experience of new rehabilitation approaches - USA, UK, Netherlands, Denmark, Germany
",2009,"BORNHOFEN PhD, Cristina",UK,yes,UK
"
              To visit centres of excellence in brain injury rehabilitation to gain knowledge and experience of new rehabilitation approaches - USA, UK, Netherlands, Denmark, Germany
",2009,"BORNHOFEN PhD, Cristina",Netherlands,yes,Netherlands
"
              To visit centres of excellence in brain injury rehabilitation to gain knowledge and experience of new rehabilitation approaches - USA, UK, Netherlands, Denmark, Germany
",2009,"BORNHOFEN PhD, Cristina",Denmark,yes,Denmark
"
              To visit centres of excellence in brain injury rehabilitation to gain knowledge and experience of new rehabilitation approaches - USA, UK, Netherlands, Denmark, Germany
",2009,"BORNHOFEN PhD, Cristina",Germany,yes,Germany
"
              To develop new curatorial models for Australian art museums to work with Indigenous artists and their communities - Canada, USA
",2009,"BOSSE, Joanna",Canada,yes,Canada
"
              To develop new curatorial models for Australian art museums to work with Indigenous artists and their communities - Canada, USA
",2009,"BOSSE, Joanna",USA,yes,USA
"
              To study innovation in engineering for sustainable development - USA, UK
",2009,"BROWN, Elizabeth",USA,yes,USA
"
              To study innovation in engineering for sustainable development - USA, UK
",2009,"BROWN, Elizabeth",UK,yes,UK
"
              To study educational and therapeutic benefits of using abandoned dogs in the rehabilitation of prisoners - USA, Canada
",2009,"CHALLINOR, Lynne",USA,yes,USA
"
              To study educational and therapeutic benefits of using abandoned dogs in the rehabilitation of prisoners - USA, Canada
",2009,"CHALLINOR, Lynne",Canada,yes,Canada
"
              The NRMA-A.C.T. Road Safety Trust Churchill Fellowship to study road-related child injury prevention programs - New Zealand, USA, UK, Austria, Germany, Switzerland
",2009,"CHALMERS, Eric",New Zealand,yes,New Zealand
"
              The NRMA-A.C.T. Road Safety Trust Churchill Fellowship to study road-related child injury prevention programs - New Zealand, USA, UK, Austria, Germany, Switzerland
",2009,"CHALMERS, Eric",USA,yes,USA
"
              The NRMA-A.C.T. Road Safety Trust Churchill Fellowship to study road-related child injury prevention programs - New Zealand, USA, UK, Austria, Germany, Switzerland
",2009,"CHALMERS, Eric",UK,yes,UK
"
              The NRMA-A.C.T. Road Safety Trust Churchill Fellowship to study road-related child injury prevention programs - New Zealand, USA, UK, Austria, Germany, Switzerland
",2009,"CHALMERS, Eric",Austria,yes,Austria
"
              The NRMA-A.C.T. Road Safety Trust Churchill Fellowship to study road-related child injury prevention programs - New Zealand, USA, UK, Austria, Germany, Switzerland
",2009,"CHALMERS, Eric",Germany,yes,Germany
"
              The NRMA-A.C.T. Road Safety Trust Churchill Fellowship to study road-related child injury prevention programs - New Zealand, USA, UK, Austria, Germany, Switzerland
",2009,"CHALMERS, Eric",Switzerland,yes,Switzerland
"
              The Bob and June Prickett Churchill Fellowship to examine management and therapy strategies for children experiencing hearing loss - U.K., Italy, USA, Canada
",2009,"CLOSE, Lynda",UK,yes,UK
"
              The Bob and June Prickett Churchill Fellowship to examine management and therapy strategies for children experiencing hearing loss - U.K., Italy, USA, Canada
",2009,"CLOSE, Lynda",Italy,yes,Italy
"
              The Bob and June Prickett Churchill Fellowship to examine management and therapy strategies for children experiencing hearing loss - U.K., Italy, USA, Canada
",2009,"CLOSE, Lynda",USA,yes,USA
"
              The Bob and June Prickett Churchill Fellowship to examine management and therapy strategies for children experiencing hearing loss - U.K., Italy, USA, Canada
",2009,"CLOSE, Lynda",Canada,yes,Canada
"
              To research professional event and installation artists with particular focus on creative implementation, cost effectiveness and safety innovation - Netherlands, Spain, Germany, France, UK
",2009,"COBHAM, Geoffrey",Netherlands,yes,Netherlands
"
              To research professional event and installation artists with particular focus on creative implementation, cost effectiveness and safety innovation - Netherlands, Spain, Germany, France, UK
",2009,"COBHAM, Geoffrey",Spain,yes,Spain
"
              To research professional event and installation artists with particular focus on creative implementation, cost effectiveness and safety innovation - Netherlands, Spain, Germany, France, UK
",2009,"COBHAM, Geoffrey",Germany,yes,Germany
"
              To research professional event and installation artists with particular focus on creative implementation, cost effectiveness and safety innovation - Netherlands, Spain, Germany, France, UK
",2009,"COBHAM, Geoffrey",France,yes,France
"
              To research professional event and installation artists with particular focus on creative implementation, cost effectiveness and safety innovation - Netherlands, Spain, Germany, France, UK
",2009,"COBHAM, Geoffrey",UK,yes,UK
"
              To investigate public transport systems utilising the latest technology to incorporate newer forms of transit such as bicycles and car sharing - China, Hong Kong, Germany, Switzerland, France, UK, USA, Singapore
",2009,"CONHEADY, Monique",China,yes,China
"
              To investigate public transport systems utilising the latest technology to incorporate newer forms of transit such as bicycles and car sharing - China, Hong Kong, Germany, Switzerland, France, UK, USA, Singapore
",2009,"CONHEADY, Monique",Germany,yes,Germany
"
              To investigate public transport systems utilising the latest technology to incorporate newer forms of transit such as bicycles and car sharing - China, Hong Kong, Germany, Switzerland, France, UK, USA, Singapore
",2009,"CONHEADY, Monique",Switzerland,yes,Switzerland
"
              To investigate public transport systems utilising the latest technology to incorporate newer forms of transit such as bicycles and car sharing - China, Hong Kong, Germany, Switzerland, France, UK, USA, Singapore
",2009,"CONHEADY, Monique",France,yes,France
"
              To investigate public transport systems utilising the latest technology to incorporate newer forms of transit such as bicycles and car sharing - China, Hong Kong, Germany, Switzerland, France, UK, USA, Singapore
",2009,"CONHEADY, Monique",UK,yes,UK
"
              To investigate public transport systems utilising the latest technology to incorporate newer forms of transit such as bicycles and car sharing - China, Hong Kong, Germany, Switzerland, France, UK, USA, Singapore
",2009,"CONHEADY, Monique",USA,yes,USA
"
              To investigate public transport systems utilising the latest technology to incorporate newer forms of transit such as bicycles and car sharing - China, Hong Kong, Germany, Switzerland, France, UK, USA, Singapore
",2009,"CONHEADY, Monique",Singapore,yes,Singapore
"
              To investigate capacity building relating to Indigenous Community Cultural Festivals within Australia - Canada, New Zealand
",2009,"COPLEY, Alison",Canada,yes,Canada
"
              To investigate capacity building relating to Indigenous Community Cultural Festivals within Australia - Canada, New Zealand
",2009,"COPLEY, Alison",New Zealand,yes,New Zealand
"
              The WA Department for Child Protection Churchill Fellowship to study prenatal alcohol exposure and the impact on parenting especially in Aboriginal communities - Canada, USA
",2009,"COUNCILLOR, June",Canada,yes,Canada
"
              The WA Department for Child Protection Churchill Fellowship to study prenatal alcohol exposure and the impact on parenting especially in Aboriginal communities - Canada, USA
",2009,"COUNCILLOR, June",USA,yes,USA
"
              The Jack Brockhoff Foundation Churchill Fellowship to investigate the benefits of family involvement in effective healthcare by examining patient and family centred care models - USA, Canada, UK
",2009,"CROCK AM, Catherine",USA,yes,USA
"
              The Jack Brockhoff Foundation Churchill Fellowship to investigate the benefits of family involvement in effective healthcare by examining patient and family centred care models - USA, Canada, UK
",2009,"CROCK AM, Catherine",Canada,yes,Canada
"
              The Jack Brockhoff Foundation Churchill Fellowship to investigate the benefits of family involvement in effective healthcare by examining patient and family centred care models - USA, Canada, UK
",2009,"CROCK AM, Catherine",UK,yes,UK
"
              To visit schools identified as being examples of excellence in Learning Outside the Classroom - U.K.
",2009,"CUMMING, Stuart",UK,yes,UK
