"","project","year","fellow"
"836","
              To study community cultural engagement - UK, Ireland, Austria Portugal, USA
            ","2011","MURRAY, Glen"
"837","
              To study sustainable horsekeeping management systems with a view to minimising the environmental impact of horse properties - USA, Canada
            ","2011","MYERS, Jane"
"838","
              To assess the role of community-based water trusts in the future of the Murray-Darling Basin - USA
            ","2011","NIAS, Deborah"
"839","
              To investigate how collaborative marketing activities amongst vineyards contribute to the success of wine tourism in that region - USA, Canada
            ","2011","NIEUWHOF, Natasha"
"840","
              The Mr and Mrs Gerald Frank New Churchill Fellowship to examine advanced practice nursing roles in survivorship care planning for head and neck cancer patients - Canada, USA
            ","2011","NUTT, Megan"
"841","
              To study digitisation and colour management techniques for cultural institutions - Singapore, France, Netherlands, Sweden, UK, USA
            ","2011","PANG, David"
"842","
              The Dame Roma Mitchell Churchill Fellowship to investigate the development of classical vibraphone performance - USA, France, Germany, UK
            ","2011","PARNELL, Nicholas"
"843","
              To study meaningful sentencing strategies for indigent low level offenders - USA, Canada, UK, Switzerland, France, Finland, Netherlands, Sweden
            ","2011","POPOVIC, Jelena"
"844","
              To study how to reunify abused children safely home to their families when parents deny the abuse - UK
            ","2011","RHODES, Sally"
"845","
              The Peter Mitchell Churchill Fellowship to study methods for determining the nutritional needs of critically ill patients - Canada, Israel, Switzerland, Italy, Spain
            ","2011","RIDLEY, Emma"
"846","
              To evaluate established models of postgraduate pre-vocational medical education - UK, Canada, USA
            ","2011","ROBERTS-THOMSON, Ross"
"847","
              The Gilbert Spottiswood Churchill Fellowship to study book-writing, composition and lyric-writing for musical theatre under the mentorship of Stephen Schwartz - USA
            ","2011","ROBINSON, Matthew"
"848","
              To research leading advanced orchestral training programs - USA
            ","2011","RUSSELL, Fabian"
"849","
              To implement the introduction of a dairy goat cottage industry on Norfolk Island - Australia
            ","2011","RYVES, Emily"
"850","
              To study how residents of manufactured home parks form cooperatives to buy and then operate their manufactured home park - USA
            ","2011","SAMMON, Damian"
"851","
              To examine the application and effectiveness of anti-organised crime laws in Australia - Austria, France, Germany, UK, USA
            ","2011","SCHLOENHARDT PhD, Andreas"
"852","
              The Dr Dorothea Sandars and Irene Lee Churchill Fellowship to study the integration of complementary and supportive therapies with conventional medical care for people with cancer - USA, UK
            ","2011","SCOTT, Christine"
"853","
              To evaluate literacy and numeracy programs offered to Indigenous and disadvantaged youths in juvenile detention centres - USA, Canada
            ","2011","SINCLAIR, Rae"
"854","
              To study the Japanese tradition in Australian contemporary art music composition - Japan, Germany, USA
            ","2011","SKIPWORTH, Lachlan"
"855","
              The Northern Districts Education Centre (Sydney) Churchill Fellowship to investigate the use of education as a means of addressing cultural misunderstandings of Islam in Australian society - UK, USA
            ","2011","SMITH, Helen"
"856","
              To examine strategies for preparing female leaders for the position of Principalship in Australian schools - USA, UK
            ","2011","SPILLER OAM, Karen"
"857","
              To investigate the establishment of a marine research and conservation network of scientifically-trained volunteer divers - Seychelles, Maldives, Tanzania, Bonaire, UK
            ","2011","STUART-SMITH, Richard"
"858","
              To undertake the Professional Certificate Program in Injury-Preventative Keyboard Technique with Barbara Lister-Sink - USA
            ","2011","TAN, Kathryn"
"859","
              To investigate how highly performing health care organisations support clinician involvement and leadership in change - Sweden, Denmark, UK, USA
            ","2011","TAY, Tracey"
"860","
              The Vincent Fairfax Family Foundation Churchill Fellowship to study initiatives that support Indigenous educators in their work with children from birth to age five in remote Australia - Canada, New Zealand
            ","2011","TAYLER, Christine"
"861","
              To investigate strategies for attracting Indian research and development commercialisation partners to Australia by developing insight into successful European-Indian collaborations - India, Germany, UK
            ","2011","TAYLOR, Linda"
"862","
              To study with renowned conductors and leading ballet companies and orchestras - Austria, UK, Germany, USA
            ","2011","THEW, Simon"
"863","
              To study the application of music for the management of dementia and related issues - USA, Canada, UK, Denmark
            ","2011","THORPE OAM, Gary"
"864","
              To study methods for eradicating the stigma and misconceptions surrounding Post Traumatic Stress Disorder - UK, USA, Canada
            ","2011","TONACIA OAM, Catriona"
"865","
              The Monash University Churchill Fellowship to study resilience and its potential to significantly enhance the retention rates of Indigenous students at University - Canada
            ","2011","TOOMBS, Maree"
"866","
              To investigate North American models of devolved governance to drive educational reform in Australian public schools - USA, Canada
            ","2011","TOON, Danielle"
"867","
              The Leslie (Les) J. Fleming Churchill Fellowship to study magnetic resonance guided focused ultrasound treatment of prostate cancer - UK
            ","2011","VEDELAGO, John"
"868","
              To investigate how Copenhagen's play yards address the parental fears and higher densities that limit the outdoor, independent play of children in Australian cities - Denmark
            ","2011","VINCENT, Tanya"
"869","
              To investigate services for enhancing patient participation in mental health decisions particularly for Indigenous people and those in remote areas - Canada, USA, New Zealand
            ","2011","WALKER, Stephen"
"870","
              The Churchill Fellows' Association of South Australia Churchill Fellowship to document the significant work of pioneering naturalist Jessie L. Hussey - Sweden, Netherlands, Germany, Ireland, UK
            ","2011","WATERS, Lisa"
"871","
              The Australian Biological Resources Study Churchill Fellowship to clarify the taxonomy and systematics of acanthocephalan parasites of Australian tropical marine fish - Chile, Mexico, UK
            ","2011","WEAVER, Haylee"
"872","
              To examine the role of nurse-led clinics focusing on interventions for sexual dysfunction in cancer patients and establish a research partnership in this area - UK
            ","2011","WHITE, Kathryn"
"873","
              To investigate the policy and practice of self directed support for people with a mental illness - UK, Ireland, Belgium, Netherlands
            ","2011","WILLIAMS, Theresa"
"874","
              The Bob and June Prickett Churchill Fellowship to investigate programs and strategies to increase organ donation and transplantation rates in cultural groups - USA
            ","2011","WOOD, Leanne"
"875","
              The Dorothy and Brian Wilson Churchill Fellowship to identify and improve methods of engaging, diverting and responding to youth who are homeless or sleeping rough in urban environments - UK, Ireland, USA, New Zealand
            ","2010","ALLEN, Corey"
"876","
              To study advance practice nursing for chronic kidney disease clients in primary health care - Ghana, Ireland, Cuba
            ","2010","AMEGA, Elizabeth"
"877","
              The Office for Rail Heritage (NSW) Churchill Fellowship to develop reference and guidance material to enable volunteer-run heritage rail operators to comply with the Rail Safety Act - New Zealand, USA, Canada, UK
            ","2010","ANDERSON, Peter"
"878","
              To study ways of improving bushfire intelligence through the use of Unmanned Aerial Vehicles - Israel, Germany, Italy, UK, USA
            ","2010","ANDERSON, Timothy"
"879","
              To investigate international approaches that effectively help people with mental illness to quit tobacco - USA, Canada
            ","2010","ASHTON, Maxine"
"880","
              To study timber conservation and repair techniques - UK
            ","2010","BARNES, Jonathon"
"881","
              To research the content for a landmark documentary about the history of the disability rights movement - USA, UK
            ","2010","BARTON, Sarah"
"882","
              The Australian Biological Resources Study Churchill Fellowship to undertake training in integrative taxonomy as it applies to the Araneae - USA, UK, Sweden
            ","2010","BEAVIS, Amber"
"883","
              To investigate specialised intervention technologies for children and adolescents with Autism Spectrum Disorder - USA, UK
            ","2010","BITSIKA AM, Vicki"
"884","
              The Peter Mitchell Churchill Fellowship to study disaster recovery services following a variety of emergencies - USA, UK, China
            ","2010","BRADY, Kate"
"885","
              To assess the impact of the introduction of boardroom gender quotas - Norway, France, UK
            ","2010","BRAUND, Claire"
"886","
              To investigate new models of guardianship and the emerging practice of supported decision making - Canada, UK
            ","2010","BROWNING, Michelle"
"887","
              To research culturally appropriate Indigenous community policing models - USA, Canada
            ","2010","BULLUSS, Leslie"
"888","
              To investigate how communities promote and support walking as a viable option for health, transport and recreation - Netherlands, Denmark, Germany, France, Spain, UK
            ","2010","CADDEY, William"
"889","
              To study programs that support young Australians to develop positive values in online communities - USA
            ","2010","CALDWELL, Steven"
"890","
              To study models of therapeutic residential care for children recovering from abuse and neglect - USA, UK
            ","2010","CARROLL, Janice"
"891","
              To study the systematics, natural history and biodiversity of true bugs (Heteroptera) of Australia - UK, USA
            ","2010","CASSIS, Gerry"
"892","
              To investigate community support and advocacy services for those living with communication impairment following Acquired Brain Injury - UK, Netherlands, USA, Canada
            ","2010","CATO, Louise"
"893","
              To explore mental health peer-led recovery programs - Canada, USA
            ","2010","CHAN, Bibiana"
"894","
              To investigate Supported Decision Making practices, capacity building strategies and other alternatives to full guardianship - Canada, UK, Ireland, Czech Republic, India
            ","2010","CHARTRES, Dianne"
"895","
              To investigate sustainable outcomes for students of low socio-economic backgrounds in Australian higher education - Netherlands, UK, Ireland, Finland
            ","2010","CLAPTON, Jayne"
"896","
              To investigate the application of international holistic models of Aboriginal health services provided in remote communities - USA, Canada
            ","2010","CLINCH (Edmondson), Wendy"
"897","
              To study the impact of compensation on health and work outcomes following injury - UK, Switzerland, Netherlands, Canada, USA
            ","2010","COLLIE, Alexander"
"898","
              The James Love Churchill Fellowship to research endangered river turtle conservation projects and enterprises that are community based and multi-faceted - Malaysia, Sri Lanka, Brazil, United Arab Emirates
            ","2010","CONNELL, Marilyn"
"899","
              To study teacher professional development in the transition from school for students with a disability - USA
            ","2010","COOPER, Carmel"
"900","
              To study programs for empowering disadvantaged Indigenous youth to improve life choices and employment opportunities - USA, Canada, UK, New Zealand
            ","2010","CURRAN, Boyd"
"901","
              The Vincent Fairfax Churchill Fellowship to study physical ageing in community dwelling older adults - USA, Canada
            ","2010","de MORTON, Natalie"
"902","
              The Park Family Churchill Fellowship to identify factors influencing young people in making career decisions relating to apprenticeships - UK, USA
            ","2010","DEUTSCHER, Danny"
"903","
              The Australian Biological Resources Study Churchill Fellowship to examine Australian specimens which will result in a large number of new species descriptions of frogs and reptiles, particularly geckos - UK, USA, West Indies
            ","2010","DOUGHTY, Paul"
"904","
              The Bob and June Prickett Churchill Fellowship to study eye banking retrieval systems for the purposes of corneal transplantation - UK, USA
            ","2010","DOWNIE (NOW CALVERT), Alice"
"905","
              To study methods for stimulating private sector support for the arts in a challenging economic environment - USA, Canada, UK, Ireland
            ","2010","FISHER, Susan"
"906","
              The Phyllis Primrose Whyte Churchill Fellowship to optimise industry and tertiary partnerships to maximise outcomes from Project Based Learning in schools - USA, Canada
            ","2010","FITZSIMONS, Bernard"
"907","
              The Dr Dorothea Sandars and Irene Lee Churchill Fellowship to attend the Vocal Pedagogy Institute at Shenandoah Conservatory and intern with Robert Edwin and Jeanette Lovetri - USA
            ","2010","FORBES, Melissa"
"908","
              The Bob and June Prickett Churchill Fellowship to explore how a multidisciplinary wound care model could enhance wound healing services in Australia - Denmark, UK
            ","2010","GIBB, Michelle"
"909","
              The Gilbert Spottiswood Churchill Fellowship to investigate sustainable theatre models for new work development and presentation - UK, Canada, USA
            ","2010","HALDANE, Bernadette"
"910","
              The Dr Dorothea Sandars and Irene Lee Churchill Fellowship to undertake research and training in the systemic review of new treatments for eye disease - UK, USA
            ","2010","HAYMES (NOW BENTLEY), Sharon"
"911","
              The David Balfour Churchill Fellowship to study methods used in the decontamination of fire fighters' protective clothing and equipment - Japan, USA, UK
            ","2010","HELGESEN, John"
"912","
              To study intergenerational, cross-cultural participation in global child centred environmental projects - New Zealand, USA, Canada, UK, Ireland
            ","2010","HILL, Judith"
"913","
              The Northern Districts Education Centre (Sydney) Churchill Fellowship to study innovative practices that improve engagement of students in science and promote a positive learning culture - USA
            ","2010","HILTON (Now Wheaton), Nicolette"
"914","
              The Donald Mackay Churchill Fellowship to investigate techniques for regional investigators to identify and disrupt groups on the path to criminal organisation - UK, Netherlands, Canada, USA
            ","2010","HOWARD, Craig"
"915","
              To study advanced techniques in reconstructive surgery particularly relating to head, neck and breast cancer and tissue transplantation - USA
            ","2010","HUANG, Janet"
"916","
              To investigate new treatment methods and service models in hand therapy management of hand trauma - Sweden, Denmark, Norway, UK
            ","2010","HUNT, Judith"
"917","
              The Vincent Fairfax Churchill Fellowship to explore models of educational delivery that are encompassing and respectful of cultural obligations specifically related to rural and remote Indigenous communities - USA, Canada, Sweden
            ","2010","JACK, Vicki"
"918","
              The WA Department for Child Protection Churchill Fellowship to study methods to achieve an integrated and collaborative approach to improve services for children and their families where there are child welfare concerns - New Zealand, USA, Canada, UK
            ","2010","JACKSON, Julie"
"919","
              To visit centres of Eucalyptus research to learn techniques for the analysis of the Eucalyptus genome sequence - UK, France, USA
            ","2010","JONES, Rebecca"
"920","
              To visit leading refugee organisations to ascertain strategies for advocating and supporting asylum seekers in Australia - UK, Belgium, Canada, Switzerland, Greece, USA
            ","2010","KARAPANAGIOTIDIS OAM, Kon"
"921","
              To gain knowledge of current German, Irish and North American playwrighting techniques and processes - Germany, Ireland, UK, USA
            ","2010","KATZ, Lally"
"922","
              To investigate the design and manufacture of cast glass in architecture and public art - Singapore, France, Netherlands, UK, USA, Mexico, New Zealand
            ","2010","KELLY, Elizabeth"
"923","
              To develop plain language community legal education programs by researching how these services are being effectively delivered through overseas programs - USA, Canada, UK, Sweden
            ","2010","KIRBY, Johann"
"924","
              To study the management of cultural and natural resources by Aboriginal people - USA
            ","2010","KNOX, Timothy"
"925","
              To visit theatre companies and investigate their educational programmes for connecting Shakespeare to young people in the classroom situation - UK, Ireland, Canada
            ","2010","LAKE, Veronica"
"926","
              The Dr Dorothea Sandars Churchill Fellowship to study advanced cardiac regeneration procedures at Harvard University - USA
            ","2010","LAL, Sean"
"927","
              The Samuel and Eileen Gluyas Churchill Fellowship to study novel breeding techniques for tropical forage and turf grasses - USA, Japan
            ","2010","LAMBRIDES, Christopher"
"928","
              To study the use of stimulation devices to improve function in people with eating, drinking and swallowing impairments - South Korea, Netherlands, France, UK, USA
            ","2010","LANGDON, Claire"
"929","
              To explore the challenges facing temperate forests in World Heritage Areas - USA, Japan, Slovakia
            ","2010","LAW AM, Geoffrey"
"930","
              To investigate land use planning approaches for the establishment and facilitation of urban agriculture - UK, Cuba, Canada
            ","2010","LESTER, Dion"
"931","
              The AV Jennings Churchill Fellowship to study recent models of urban regeneration that demonstrate a holistic approach to climate change and sustainability - UK, Denmark, Sweden, USA, Canada
            ","2010","LOCHHEAD, Helen"
"932","
              To study respite models which promote social inclusion for people with an intellectual disability - UK, USA, Canada
            ","2010","MAJKUT, Louise"
"933","
              To investigate homelessness models of housing and support for people with a mental illness - UK, Italy, Canada, USA
            ","2010","MANU-PRESTON, Claudia"
"934","
              To review methods of fuel assessment and the tools used to measure and predict the accumulation of fuels in natural landscapes - USA, Canada
            ","2010","MARDELL, Catherine"
"935","
              To investigate integrated Varroa mite control for the future benefit of Australian beekeepers and farmers - USA
            ","2010","MARTIN, Daniel"
"936","
              The Vincent Fairfax Ethics in Leadership Foundation Churchill Fellowship to study methods for strengthening teacher and school leadership capacity to improve student learning outcomes - UK, Finland, Canada
            ","2010","McINTYRE, Ann"
"937","
              To investigate the implementation of community based preventive dental practices in rural and remote Indigenous communities - Canada, Brazil
            ","2010","MEIHUBERS AM, Sandra"
"938","
              The Jack Green Churchill Fellowship to identify opportunities to support Australian cattle exports to cold climates - Canada, USA
            ","2010","MILLER, Sean"
"939","
              To investigate governance and management models for the ongoing care of war memorials - USA, Canada, UK, Belgium
            ","2010","MITCHELL, Darren"
"940","
              To assess natural treatment systems for Australian applications in water supply and water recycling - United Arab Emirates, Germany, Netherlands, Spain, UK, USA
            ","2010","PAGE, Declan"
"941","
              To investigate alternative education programs particularly how their successful outcomes are measured - USA, Canada, Denmark, UK
            ","2010","PEDLER, Brenton"
"942","
              To study historic pointing, mortars, gauged arches and niche construction to facilitate the correct preservation of historical buildings - UK
            ","2010","POTRZEBA, Maurice"
"943","
              To investigate programs for sustaining the tenancies of high risk tenants - UK, USA,Canada
            ","2010","POVEY, Christopher"
"944","
              To investigate methods to collaborate with livestock producers to manage wild dogs using non-lethal techniques - USA, UK, Poland, Botswana
            ","2010","PURCELL PhD, Brad"
"945","
              To study approaches to the adolescent experience of a Rite of Passage in contemporary education - Canada
            ","2010","REEVES, Mark"
"946","
              To study material culture created by the Polynesian women who settled on Pitcairn Island in 1789 - New Zealand, USA, UK, Norway
            ","2010","REYNOLDS-BARFF, Pauline"
"947","
              The A.C.T. Government Audrey Fagan Churchill Fellowship to investigate the potential of Circles of Support and Accountability to prevent child sexual abuse in Australia - Canada, USA, UK
            ","2010","RICHARDS, Kelly"
"948","
              To study the innovative community music and disability activities of L'Association Nationale Ressource Musique et Handicap - France
            ","2010","ROBERTON, Timothy"
"949","
              The Nancy Fairfax Churchill Fellowship to investigate strategies that contribute to creating a classroom environment where school aged children who have experienced emergencies and disasters are able to maintain their social, emotional and academic trajec
            ","2010","ROBERTS, Michelle"
"950","
              The Peter Mitchell Churchill Fellowship to research youth peer-to-peer climate change education projects - USA, China, UK
            ","2010","ROSE, Anna"
"951","
              The Churchill Fellows' Association of South Australia Churchill Fellowship to study innovative museum outreach programs which respond to community needs - UK
            ","2010","RUSSELL, Allison"
"952","
              To investigate landscaping practices and plant selection for ornamental horticulture within dry climates - UK, Spain, Greece, Cyprus, Netherlands, France
            ","2010","RYAN, Marcus"
"953","
              To undertake a comparative study of diversity skills training and human rights integration in policing organisations - USA, Lebanon, United Arab Emirates, UK
            ","2010","SABA, Judy"
"954","
              The Dr Dorothea Sandars and Irene Lee Churchill Fellowship to explore leading palliative care volunteer service models to ensure volunteer service and resource development in Australia is sustainable - Singapore, UK, USA, Canada
            ","2010","SALAU, Susan"
"955","
              To study Shakespeare in community theatre under the mentorship of Janet Buckland and Ubom! Drama Company - South Africa, UK
            ","2010","SAVIGE, Francesca"
"956","
              To explore the use of innovative airborne policing methods to reduce death and serious injury on rural roads - USA, Canada, UK, France
            ","2010","SCUTCHINGS, David"
"957","
              To assess methods for providing professional information to community based alcohol and other drug workers - UK, USA, Canada
            ","2010","SHELLING, Jane "
"958","
              To investigate the structures and language maintenance programming of international Indigenous media organisations - Norway, Canada
            ","2010","SMALLACOMBE, Penny"
"959","
              The Dame Roma Mitchell Churchill Fellowship to analyse aspects of artistic direction in music which positively influence audience engagement and education - UK, Netherlands, Belgium, Canada, Croatia
            ","2010","SMART, Gabriella"
"960","
              To examine entrepreneurial programs with the aim of identifying areas that can be applied to Australian programs - USA, UK
            ","2010","SMITH, Daniel"
"961","
              To study the design and manufacture of cutlery - UK, Denmark, South Korea
            ","2010","SMITH, Oliver"
"962","
              To study sustainable seaport design, development and operation - Singapore, China, UK, Netherlands, USA, Canada
            ","2010","SPROTT, Jason"
"963","
              To study programs for recovering the spirit of combat veterans and those with Post Traumatic Stress Disorder - USA, Canada
            ","2010","SUTHERLAND, Robert"
"964","
              To investigate the provision of education and settlement services for primary school refugee children and their families - UK, Norway, Denmark, USA, Canada
            ","2010","Thompson (Now Abbott), Clare"
"965","
              The Gallaugher Bequest Churchill Fellowship to conduct research into post-industrial sites for community development and geo-tourism opportunities - Italy, Germany, Spain, UK
            ","2010","TIDDY, Travis"
"966","
              To study the development of subsecond neurotransmitter monitoring techniques for behavioural research and neurosurgical procedures - USA
            ","2010","TYE, Susannah"
"967","
              To investigate new initiatives in the implementation of online learning tools in education - UK, Singapore, USA
            ","2010","WARGREN, Grant"
"968","
              To study the origins of patterns and their relation to 3Dimensional spaces and objects - Japan, China, Hong Kong, Turkey, UK
            ","2010","WATERSON, Christina"
"969","
              To explore innovative production, distribution practices and content creation within independent American cinema - USA, UK
            ","2010","WATTS, Elizabeth"
"970","
              To investigate world production of vegetable seeds within the framework of possible widespread shortages - USA, France, Netherlands, South Africa
            ","2010","WEDDELL, Lincoln"
"971","
              The Jeannie Ferris, National Centre for Gynaecological Cancers Consumer Churchill Fellowship to investigate strategies used to help women diagnosed with ovarian cancer in terms of 'survivorship' - USA
            ","2010","WILLIAMS, Merran"
"972","
              The Stuart and Norma Leslie Churchill Fellowship to undertake lessons and assist renowned conductors and leading European and American Orchestras - UK, Germany, Russia, Ukraine, Norway, USA
            ","2010","WILLIAMS, Sarah-Grace"
"973","
              The Jack Brockhoff Foundation Churchill Fellowship to research advanced communication for the Deafblind community - USA, Finland
            ","2010","WITCOMBE, Dennis"
"974","
              To study physiotherapy techniques for people with Cystic Fibrosis and Bronchiectasis - UK, Sweden, Belgium
            ","2010","WOOD, Jamie"
"975","
              The Sir William Kilpatrick Churchill Fellowship to study methods for initiating cultural change regarding alcohol consumption - UK, Ireland
            ","2010","WRIGHT, Clancy"
"976","
              The A.C.T. Government Audrey Fagan Churchill Fellowship to study programs that assist women whose parenting has been compromised by violence - USA, Canada, UK
            ","2009","ALCHIN, Josephine"
"977","
              To study contemporary challenges faced by professionals working within the child protection field - UK, Norway, USA
            ","2009","ALEXANDER PSM, Katherine"
"978","
              To study Indigenous community education and leadership - Canada
            ","2009","ANDERSON, Lisa"
"979","
              The Dr Dorothea Sandars Churchill Fellowship to investigate innovation in physiotherapy for children with acquired spinal cord injury - USA, Canada, UK, Italy
            ","2009","BAKER, Isabel"
"980","
              To study sexual assault prevention and intervention in a military environment - USA, Canada, UK
            ","2009","BALLARD, Angela"
"981","
              The Phyllis Primrose Whyte Churchill Fellowship to study the structure and pedagogy of targeted school and community-focused science outreach programs - Singapore, Japan, USA, UK
            ","2009","BANHAM, Brenton"
"982","
              The Gallaugher Bequest Churchill Fellowship to study the practice of aural development strategies in vocal performance and teaching - Hungary, Finland, UK
            ","2009","BASHFORD, Gina"
"983","
              To study the breeding of bees that are resistant to the parasitic mite Varroa - New Zealand, USA, France, Germany, Portugal, UK
            ","2009","BATES, Tiffane"
"984","
              To examine the role of museums in assisting communities to recover from traumatic events and experiences - USA, UK, Ireland, Netherlands, Germany, South Africa
            ","2009","BESLEY, Joanna"
"985","
              To study screen writing and its role in the film production process - USA, Germany, UK
            ","2009","BLYTH, Matthew"
"986","
              The Dame Roma Mitchell Churchill Fellowship to study the use of improvisation in teaching classical music - UK
            ","2009","BOCHNER, Nicholas"
"987","
              To undertake a review of innovation in court based information, support and referral services - USA, Canada, UK, Netherlands, France, Switzerland, Italy, New Zealand, Cambodia
            ","2009","BOLTO, Nicholas"
"988","
              To study methods for promoting wellbeing within the medical profession - U.K., Norway, Canada, USA
            ","2009","BONNING, Michael"
"989","
              To visit centres of excellence in brain injury rehabilitation to gain knowledge and experience of new rehabilitation approaches - USA, UK, Netherlands, Denmark, Germany
            ","2009","BORNHOFEN PhD, Cristina"
"990","
              To develop new curatorial models for Australian art museums to work with Indigenous artists and their communities - Canada, USA
            ","2009","BOSSE, Joanna"
"991","
              To study innovation in engineering for sustainable development - USA, UK
            ","2009","BROWN, Elizabeth"
"992","
              To study educational and therapeutic benefits of using abandoned dogs in the rehabilitation of prisoners - USA, Canada
            ","2009","CHALLINOR, Lynne"
"993","
              The NRMA-A.C.T. Road Safety Trust Churchill Fellowship to study road-related child injury prevention programs - New Zealand, USA, UK, Austria, Germany, Switzerland
            ","2009","CHALMERS, Eric"
"994","
              The Bob and June Prickett Churchill Fellowship to examine management and therapy strategies for children experiencing hearing loss - U.K., Italy, USA, Canada
            ","2009","CLOSE, Lynda"
"995","
              To research professional event and installation artists with particular focus on creative implementation, cost effectiveness and safety innovation - Netherlands, Spain, Germany, France, UK
            ","2009","COBHAM, Geoffrey"
"996","
              To investigate public transport systems utilising the latest technology to incorporate newer forms of transit such as bicycles and car sharing - China, Hong Kong, Germany, Switzerland, France, UK, USA, Singapore
            ","2009","CONHEADY, Monique"
"997","
              To investigate capacity building relating to Indigenous Community Cultural Festivals within Australia - Canada, New Zealand
            ","2009","COPLEY, Alison"
"998","
              The WA Department for Child Protection Churchill Fellowship to study prenatal alcohol exposure and the impact on parenting especially in Aboriginal communities - Canada, USA
            ","2009","COUNCILLOR, June"
"999","
              The Jack Brockhoff Foundation Churchill Fellowship to investigate the benefits of family involvement in effective healthcare by examining patient and family centred care models - USA, Canada, UK
            ","2009","CROCK AM, Catherine"
"1000","
              To visit schools identified as being examples of excellence in Learning Outside the Classroom - U.K.
            ","2009","CUMMING, Stuart"
"1001","
              To study the operational training and education of law enforcement personnel in the area of human source management - USA, Canada, UK, Ireland
            ","2009","DODD, Stephen"
"1002","
              To study the impact of climate change on rare plants with emphasis on identifying and protecting climate refugia - USA, South Africa, UK, Spain, Italy
            ","2009","DONATIU, Paul"
"1003","
              To examine child sexual abuse intervention strategies in remote Indigenous communities - USA, Canada
            ","2009","FAIRMAN, Gordon"
"1004","
              To undertake a comparative study of international water policy and management arrangements to inform the next generation of water reform in Australia - USA, France, Belgium, Italy, Spain, Denmark, Jordan, Sri Lanka
            ","2009","FARGHER, William"
"1005","
              To assess resilience programs for children who have specific learning disabilities - USA, Canada, UK
            ","2009","FIRTH, Nola"
"1006","
              To investigate the assessment and rehabilitation of complex adult cochlear implantees - Denmark, Germany, UK
            ","2009","FLINT (NOW Cucchiarelli), Sheridan"
"1007","
              To investigate city-based bicycle advocacy organisations - USA, Canada, UK
            ","2009","GARDNER, Elaena"
"1008","
              To explore referral processes and sustainability for support groups for women with late diagnosed/poor prognosis gynaecological cancers - Canada, USA, UK
            ","2009","GOSS, Sally"
"1009","
              To explore how AusAID can assist microfinance providers to transition from using donor subsidies to private funds - USA, Philippines, Cambodia, Bangladesh, Indonesia
            ","2009","GREENACRE, Jonathan"
"1010","
              To explore culturally appropriate response models to provide psychological support for people affected by trauma - USA, Canada, UK
            ","2009","GUSCOTT, Wendy"
"1011","
              To research historical lute collections - UK, France, Belgium, Germany, Netherlands, Austria, Italy
            ","2009","GUSTER, Timothy"
"1012","
              To visit schools, agencies, government departments and vocational projects that are enhancing the transitions of young people into employment and training - Singapore, U.K.
            ","2009","GWILLIAM OAM, Heather"
"1013","
              To study the role of mergers, alliances and related strategies in enhancing the future effectiveness and sustainability of not for profit organisations - USA, UK
            ","2009","HALL AM, Chris "
"1014","
              To study technology and systems used to support the hearing impaired - Switzerland, UK
            ","2009","HALSEY, Peter"
"1015","
              To study methods for accelerating the educational outcomes of Indigenous Australian students - Canada, New Zealand, United Arab Emirates
            ","2009","HARMS, Andrea"
"1016","
              The Lord Mayor's Bushfire Appeal Churchill Fellowship to research and develop an automated, rapid multi-media national emergency incident update and notification system - USA
            ","2009","HARPER, Grant"
"1017","
              The Stuart and Norma Leslie Churchill Fellowship to study orchestral and opera conducting with Johannes Fritsch and the Graz Philharmonic Orchestra - Austria, USA
            ","2009","HARVEY-MARTIN, Rowan"
"1018","
              To undertake research and training in the area of large animal technical rescue - USA, U.K.
            ","2009","HATCH, Anthony"
"1019","
              The Peter Mitchell Churchill Fellowship to study with leading experts in the field of operatic/vocal interpretation and performance - USA, Germany
            ","2009","HAWES, Georgia"
"1020","
              The Geoffrey Allen Churchill Fellowship to research the Haemodoraceae plant family of the Americas in order to illustrate a definitive text - Guyana, Brazil, Venezuela, Cuba, UK
            ","2009","HICKMAN, Ellen"
"1021","
              The Nancy Fairfax Churchill Fellowship to investigate innovative programs for gifted preschoolers and teacher training in gifted early education - USA, Canada, UK
            ","2009","HODGE, Kerry"
"1022","
              The Jack Brockhoff Foundation Churchill Fellowship to gather data related to established children's programs catering for members of households significantly affected by either chronic illness or trauma in a parent - USA
            ","2009","HOLLAND, Cynthia"
"1023","
              The Jack Brockhoff Foundation Churchill Fellowship to discover new ways to deliver Pulmonary Rehabilitation for Australians with chronic lung disease - UK, Norway, Spain, Canada
            ","2009","HOLLAND PhD, Anne"
"1024","
              To study contemporary land-based search and rescue coordination - New Zealand, USA, Canada, UK
            ","2009","HOPKINS, Darren"
"1025","
              To research the application of environmental ratings systems and energy efficiency measures to heritage buildings - Canada, U.K., USA
            ","2009","HORRIGAN, Kenneth"
"1026","
              The Sir William Kilpatrick Churchill Fellowship to investigate methods for preventing and responding to adolescent violence towards parents - Canada, USA
            ","2009","HOWARD, Joanne"
"1027","
              To study improvements in international health protection standards for jockeys - UK, Ireland, France, Germany
            ","2009","JANDER, Caron"
"1028","
              To visit producers and manufacturers of materials and technologies required for the development of a sea kayak for double leg amputees - Austria, Czech Republic, Poland, USA, Canada
            ","2009","JANECKI, Andre "
"1029","
              To observe conceptual and technological innovation in animation sound design - USA, UK, New Zealand
            ","2009","KASSAB, John "
