"","X1","project","year","fellow","region","match"
"2289",688,"
              To explore hair salons as sites of contact between community members, NGOs, Government, health agencies and intercultural innovators - Japan, USA, Canada, South Africa
",2012,"Fielding, Kate","USA","yes"
"2290",688,"
              To explore hair salons as sites of contact between community members, NGOs, Government, health agencies and intercultural innovators - Japan, USA, Canada, South Africa
",2012,"Fielding, Kate","Canada","yes"
"2291",688,"
              To explore hair salons as sites of contact between community members, NGOs, Government, health agencies and intercultural innovators - Japan, USA, Canada, South Africa
",2012,"Fielding, Kate","South Africa","yes"
"2292",689,"
              To investigate the fusion of science with the performing arts - USA, Canada, Japan, UK, Sweden 
",2012,"Finnigan, David","USA","yes"
"2293",689,"
              To investigate the fusion of science with the performing arts - USA, Canada, Japan, UK, Sweden 
",2012,"Finnigan, David","Canada","yes"
"2294",689,"
              To investigate the fusion of science with the performing arts - USA, Canada, Japan, UK, Sweden 
",2012,"Finnigan, David","Japan","yes"
"2295",689,"
              To investigate the fusion of science with the performing arts - USA, Canada, Japan, UK, Sweden 
",2012,"Finnigan, David","UK","yes"
"2296",689,"
              To investigate the fusion of science with the performing arts - USA, Canada, Japan, UK, Sweden 
",2012,"Finnigan, David","Sweden","yes"
"2297",690,"
              To study the design and construction of pre-1919 aircraft used by Australian Flying Corps - UK
",2012,"Ford , Peter","UK","yes"
"2298",691,"
              To investigate support networks for Indigenous law enforcement officers - New Zealand, USA, Canada, UK
",2012,"Forester, Robyn","New Zealand","yes"
"2299",691,"
              To investigate support networks for Indigenous law enforcement officers - New Zealand, USA, Canada, UK
",2012,"Forester, Robyn","USA","yes"
"2300",691,"
              To investigate support networks for Indigenous law enforcement officers - New Zealand, USA, Canada, UK
",2012,"Forester, Robyn","Canada","yes"
"2301",691,"
              To investigate support networks for Indigenous law enforcement officers - New Zealand, USA, Canada, UK
",2012,"Forester, Robyn","UK","yes"
"2302",692,"
              To examine strategies adopted in other jurisdictions for dealing with Litigants in Person in the civil justice system - New Zealand, USA, UK
",2012,"Grainger, Julie","New Zealand","yes"
"2303",692,"
              To examine strategies adopted in other jurisdictions for dealing with Litigants in Person in the civil justice system - New Zealand, USA, UK
",2012,"Grainger, Julie","USA","yes"
"2304",692,"
              To examine strategies adopted in other jurisdictions for dealing with Litigants in Person in the civil justice system - New Zealand, USA, UK
",2012,"Grainger, Julie","UK","yes"
"2305",693,"
              To study methods for conserving the future of Australia's Indigenous heritage places - Turkey, Italy
",2012,"Grech, Alana","Turkey","yes"
"2306",693,"
              To study methods for conserving the future of Australia's Indigenous heritage places - Turkey, Italy
",2012,"Grech, Alana","Italy","yes"
"2307",694,"
              To investigate branding strategies for island communities to build competitive advantage, economic growth and stronger communities - Canada, UK, Iceland
",2012,"Haddow, Nicholas","Canada","yes"
"2308",694,"
              To investigate branding strategies for island communities to build competitive advantage, economic growth and stronger communities - Canada, UK, Iceland
",2012,"Haddow, Nicholas","UK","yes"
"2309",694,"
              To investigate branding strategies for island communities to build competitive advantage, economic growth and stronger communities - Canada, UK, Iceland
",2012,"Haddow, Nicholas","Iceland","yes"
"2310",695,"
              To investigate approaches to assist pregnant women to stop smoking and remain smoke free after giving birth - New Zealand, Canada, UK, Sweden, Italy
",2012,"Hale, Marion","New Zealand","yes"
"2311",695,"
              To investigate approaches to assist pregnant women to stop smoking and remain smoke free after giving birth - New Zealand, Canada, UK, Sweden, Italy
",2012,"Hale, Marion","Canada","yes"
"2312",695,"
              To investigate approaches to assist pregnant women to stop smoking and remain smoke free after giving birth - New Zealand, Canada, UK, Sweden, Italy
",2012,"Hale, Marion","UK","yes"
"2313",695,"
              To investigate approaches to assist pregnant women to stop smoking and remain smoke free after giving birth - New Zealand, Canada, UK, Sweden, Italy
",2012,"Hale, Marion","Sweden","yes"
"2314",695,"
              To investigate approaches to assist pregnant women to stop smoking and remain smoke free after giving birth - New Zealand, Canada, UK, Sweden, Italy
",2012,"Hale, Marion","Italy","yes"
"2315",696,"
              To trace the domestication of the Australian macadamia nut - USA
",2012,"Hardner, Craig","USA","yes"
"2316",697,"
              To research alternative grape varieties that would suit Queensland's climate - Italy, Spain, Portugal, France
",2012,"Hayes, Michael","Italy","yes"
"2317",697,"
              To research alternative grape varieties that would suit Queensland's climate - Italy, Spain, Portugal, France
",2012,"Hayes, Michael","Spain","yes"
"2318",697,"
              To research alternative grape varieties that would suit Queensland's climate - Italy, Spain, Portugal, France
",2012,"Hayes, Michael","Portugal","yes"
"2319",697,"
              To research alternative grape varieties that would suit Queensland's climate - Italy, Spain, Portugal, France
",2012,"Hayes, Michael","France","yes"
"2320",698,"
              The Mr and Mrs Gerald Frank New Churchill Fellowship to undertake an investigation of piccolo performance and teaching - Hong Kong, Germany, UK, USA
",2012,"Hudson, Lloyd","Hong Kong","no"
"2321",698,"
              The Mr and Mrs Gerald Frank New Churchill Fellowship to undertake an investigation of piccolo performance and teaching - Hong Kong, Germany, UK, USA
",2012,"Hudson, Lloyd","Germany","yes"
"2322",698,"
              The Mr and Mrs Gerald Frank New Churchill Fellowship to undertake an investigation of piccolo performance and teaching - Hong Kong, Germany, UK, USA
",2012,"Hudson, Lloyd","UK","yes"
"2323",698,"
              The Mr and Mrs Gerald Frank New Churchill Fellowship to undertake an investigation of piccolo performance and teaching - Hong Kong, Germany, UK, USA
",2012,"Hudson, Lloyd","USA","yes"
"2324",699,"
              To study the use of fruit in real ale production and floor malting - Belgium, France, UK, USA
",2012,"Huntington, Ashley","Belgium","yes"
"2325",699,"
              To study the use of fruit in real ale production and floor malting - Belgium, France, UK, USA
",2012,"Huntington, Ashley","France","yes"
"2326",699,"
              To study the use of fruit in real ale production and floor malting - Belgium, France, UK, USA
",2012,"Huntington, Ashley","UK","yes"
"2327",699,"
              To study the use of fruit in real ale production and floor malting - Belgium, France, UK, USA
",2012,"Huntington, Ashley","USA","yes"
"2328",700,"
              To study personalised, research-based learning as a subject for senior secondary students - USA, UK, Singapore
",2012,"Inglis, Stephen","USA","yes"
"2329",700,"
              To study personalised, research-based learning as a subject for senior secondary students - USA, UK, Singapore
",2012,"Inglis, Stephen","UK","yes"
"2330",700,"
              To study personalised, research-based learning as a subject for senior secondary students - USA, UK, Singapore
",2012,"Inglis, Stephen","Singapore","yes"
"2331",701,"
              The Bob and June Prickett Churchill Fellowship to explore practical management strategies to improve the quality of life of Australian children with genetic metabolic disorders and their families - UK, Spain
",2012,"Inwood, Anita","UK","yes"
"2332",701,"
              The Bob and June Prickett Churchill Fellowship to explore practical management strategies to improve the quality of life of Australian children with genetic metabolic disorders and their families - UK, Spain
",2012,"Inwood, Anita","Spain","yes"
"2333",702,"
              The Peter Mitchell Churchill Fellowship to investigate the emerging use of technology to enhance the delivery of psychological services in schools - USA
",2012,"Jellins, Laura","USA","yes"
"2334",703,"
              To undertake placements with social change documentary film companies to learn about impact, distribution and marketing models - USA
",2012,"Kelly, Alexandra","USA","yes"
"2335",704,"
              To investigate school based anti-gang programs - USA, Canada, UK
",2012,"Kemp, Jeffrey","USA","yes"
"2336",704,"
              To investigate school based anti-gang programs - USA, Canada, UK
",2012,"Kemp, Jeffrey","Canada","yes"
"2337",704,"
              To investigate school based anti-gang programs - USA, Canada, UK
",2012,"Kemp, Jeffrey","UK","yes"
"2338",705,"
              The Office of Rail Heritage (NSW) Churchill Fellowship to undertake an investigation into a risk based life-cycle approach to the maintenance and management of rail assets within the heritage rail industry - USA, UK, France, Japan
",2012,"Kitchen, Kevin","USA","yes"
"2339",705,"
              The Office of Rail Heritage (NSW) Churchill Fellowship to undertake an investigation into a risk based life-cycle approach to the maintenance and management of rail assets within the heritage rail industry - USA, UK, France, Japan
",2012,"Kitchen, Kevin","UK","yes"
"2340",705,"
              The Office of Rail Heritage (NSW) Churchill Fellowship to undertake an investigation into a risk based life-cycle approach to the maintenance and management of rail assets within the heritage rail industry - USA, UK, France, Japan
",2012,"Kitchen, Kevin","France","yes"
"2341",705,"
              The Office of Rail Heritage (NSW) Churchill Fellowship to undertake an investigation into a risk based life-cycle approach to the maintenance and management of rail assets within the heritage rail industry - USA, UK, France, Japan
",2012,"Kitchen, Kevin","Japan","yes"
"2342",706,"
              The Mr and Mrs Gerald Frank New Churchill Fellowship to establish a tissue engineering service at Royal Perth Hospital to treat patients throughout Western Australia and Australia - Singapore, UK, Netherlands, Belgium, Germany, Austria, Italy
",2012,"Kop, Alan","Singapore","yes"
"2343",706,"
              The Mr and Mrs Gerald Frank New Churchill Fellowship to establish a tissue engineering service at Royal Perth Hospital to treat patients throughout Western Australia and Australia - Singapore, UK, Netherlands, Belgium, Germany, Austria, Italy
",2012,"Kop, Alan","UK","yes"
"2344",706,"
              The Mr and Mrs Gerald Frank New Churchill Fellowship to establish a tissue engineering service at Royal Perth Hospital to treat patients throughout Western Australia and Australia - Singapore, UK, Netherlands, Belgium, Germany, Austria, Italy
",2012,"Kop, Alan","Netherlands","yes"
"2345",706,"
              The Mr and Mrs Gerald Frank New Churchill Fellowship to establish a tissue engineering service at Royal Perth Hospital to treat patients throughout Western Australia and Australia - Singapore, UK, Netherlands, Belgium, Germany, Austria, Italy
",2012,"Kop, Alan","Belgium","yes"
"2346",706,"
              The Mr and Mrs Gerald Frank New Churchill Fellowship to establish a tissue engineering service at Royal Perth Hospital to treat patients throughout Western Australia and Australia - Singapore, UK, Netherlands, Belgium, Germany, Austria, Italy
",2012,"Kop, Alan","Germany","yes"
"2347",706,"
              The Mr and Mrs Gerald Frank New Churchill Fellowship to establish a tissue engineering service at Royal Perth Hospital to treat patients throughout Western Australia and Australia - Singapore, UK, Netherlands, Belgium, Germany, Austria, Italy
",2012,"Kop, Alan","Austria","yes"
"2348",706,"
              The Mr and Mrs Gerald Frank New Churchill Fellowship to establish a tissue engineering service at Royal Perth Hospital to treat patients throughout Western Australia and Australia - Singapore, UK, Netherlands, Belgium, Germany, Austria, Italy
",2012,"Kop, Alan","Italy","yes"
"2349",707,"
              To study inclusive music for deaf children - UK, Czech Republic
",2012,"Kyriakou, Karen","UK","yes"
"2350",707,"
              To study inclusive music for deaf children - UK, Czech Republic
",2012,"Kyriakou, Karen","Czech Republic","yes"
"2351",708,"
              To investigate the use of art therapy for Post Traumatic Stress Disorder in hospitals, clinics and centres - USA, Israel
",2012,"Lawrence, Dena","USA","yes"
"2352",708,"
              To investigate the use of art therapy for Post Traumatic Stress Disorder in hospitals, clinics and centres - USA, Israel
",2012,"Lawrence, Dena","Israel","yes"
"2353",709,"
              To enrich Australian music by bringing new, culturally diverse techniques and perspectives to Australia - France, Germany, Netherlands, UK
",2012,"Liniere, Dax","France","yes"
"2354",709,"
              To enrich Australian music by bringing new, culturally diverse techniques and perspectives to Australia - France, Germany, Netherlands, UK
",2012,"Liniere, Dax","Germany","yes"
"2355",709,"
              To enrich Australian music by bringing new, culturally diverse techniques and perspectives to Australia - France, Germany, Netherlands, UK
",2012,"Liniere, Dax","Netherlands","yes"
"2356",709,"
              To enrich Australian music by bringing new, culturally diverse techniques and perspectives to Australia - France, Germany, Netherlands, UK
",2012,"Liniere, Dax","UK","yes"
"2357",710,"
              To research artist Dorrit Black's formative European period (1927-29) - UK, France
",2012,"Lock-Weir, Tracey","UK","yes"
"2358",710,"
              To research artist Dorrit Black's formative European period (1927-29) - UK, France
",2012,"Lock-Weir, Tracey","France","yes"
"2359",711,"
              The Bob and June Prickett Churchill Fellowship to investigate collaborative kidney and genetic health clinic programs - UK, France, USA, Canada
",2012,"Mallett, Andrew","UK","yes"
"2360",711,"
              The Bob and June Prickett Churchill Fellowship to investigate collaborative kidney and genetic health clinic programs - UK, France, USA, Canada
",2012,"Mallett, Andrew","France","yes"
"2361",711,"
              The Bob and June Prickett Churchill Fellowship to investigate collaborative kidney and genetic health clinic programs - UK, France, USA, Canada
",2012,"Mallett, Andrew","USA","yes"
"2362",711,"
              The Bob and June Prickett Churchill Fellowship to investigate collaborative kidney and genetic health clinic programs - UK, France, USA, Canada
",2012,"Mallett, Andrew","Canada","yes"
"2363",712,"
              To investigate snake management techniques, tools, first aid and educational programs - South Africa, USA
",2012,"Manning, David","South Africa","yes"
"2364",712,"
              To investigate snake management techniques, tools, first aid and educational programs - South Africa, USA
",2012,"Manning, David","USA","yes"
"2365",713,"
              To examine how emergency agencies provide information on radio and social media to communities under threat from fires, floods, tornadoes and tsunamis - Canada, USA
",2012,"Mannix PSM, Ian","Canada","yes"
"2366",713,"
              To examine how emergency agencies provide information on radio and social media to communities under threat from fires, floods, tornadoes and tsunamis - Canada, USA
",2012,"Mannix PSM, Ian","USA","yes"
"2367",714,"
              To examine the use of simulation in graduate entry healthcare training - Canada, USA, UK
",2012,"Marlow, Nicholas","Canada","yes"
"2368",714,"
              To examine the use of simulation in graduate entry healthcare training - Canada, USA, UK
",2012,"Marlow, Nicholas","USA","yes"
"2369",714,"
              To examine the use of simulation in graduate entry healthcare training - Canada, USA, UK
",2012,"Marlow, Nicholas","UK","yes"
"2370",715,"
              To study innovative practices that enhance the building of police craft with an inexperienced police force - UK, Ireland, USA, Canada
",2012,"Marsham, Travis","UK","yes"
"2371",715,"
              To study innovative practices that enhance the building of police craft with an inexperienced police force - UK, Ireland, USA, Canada
",2012,"Marsham, Travis","Ireland","yes"
"2372",715,"
              To study innovative practices that enhance the building of police craft with an inexperienced police force - UK, Ireland, USA, Canada
",2012,"Marsham, Travis","USA","yes"
"2373",715,"
              To study innovative practices that enhance the building of police craft with an inexperienced police force - UK, Ireland, USA, Canada
",2012,"Marsham, Travis","Canada","yes"
"2374",716,"
              To study methods for optimising the use of surplus water from mine dewatering in the Pilbara - USA, Israel, Spain, Chile
",2012,"Mathwin, Simon","USA","yes"
"2375",716,"
              To study methods for optimising the use of surplus water from mine dewatering in the Pilbara - USA, Israel, Spain, Chile
",2012,"Mathwin, Simon","Israel","yes"
"2376",716,"
              To study methods for optimising the use of surplus water from mine dewatering in the Pilbara - USA, Israel, Spain, Chile
",2012,"Mathwin, Simon","Spain","yes"
"2377",716,"
              To study methods for optimising the use of surplus water from mine dewatering in the Pilbara - USA, Israel, Spain, Chile
",2012,"Mathwin, Simon","Chile","yes"
"2378",717,"
              The Monash University Churchill Fellowship to examine programs run by universities and other bodies to assist in entry to law school and to support Indigenous students throughout the course of their studies - Canada, USA, New Zealand
",2012,"McKinnon, Gemma","Canada","yes"
"2379",717,"
              The Monash University Churchill Fellowship to examine programs run by universities and other bodies to assist in entry to law school and to support Indigenous students throughout the course of their studies - Canada, USA, New Zealand
",2012,"McKinnon, Gemma","USA","yes"
"2380",717,"
              The Monash University Churchill Fellowship to examine programs run by universities and other bodies to assist in entry to law school and to support Indigenous students throughout the course of their studies - Canada, USA, New Zealand
",2012,"McKinnon, Gemma","New Zealand","yes"
"2381",718,"
              To examine mass evacuation centres and supporting arrangements utilised following significant natural disasters - New Zealand, Japan, USA, Canada 
",2012,"Millington, Ben","New Zealand","yes"
"2382",718,"
              To examine mass evacuation centres and supporting arrangements utilised following significant natural disasters - New Zealand, Japan, USA, Canada 
",2012,"Millington, Ben","Japan","yes"
"2383",718,"
              To examine mass evacuation centres and supporting arrangements utilised following significant natural disasters - New Zealand, Japan, USA, Canada 
",2012,"Millington, Ben","USA","yes"
"2384",718,"
              To examine mass evacuation centres and supporting arrangements utilised following significant natural disasters - New Zealand, Japan, USA, Canada 
",2012,"Millington, Ben","Canada","yes"
"2385",719,"
              To investigate men's domestic violence behaviour change programs particularly effective practice and integration with courts - USA, UK
",2012,"Minns (now Crepaldi), Kristy","USA","yes"
"2386",719,"
              To investigate men's domestic violence behaviour change programs particularly effective practice and integration with courts - USA, UK
",2012,"Minns (now Crepaldi), Kristy","UK","yes"
"2387",720,"
              To study vibraphone performance and techniques in the areas of jazz, new music and ensemble playing - Austria, France, Germany, Belgium, Sweden, Luxembourg, UK, USA
",2012,"Moncrieff, Callum","Austria","yes"
"2388",720,"
              To study vibraphone performance and techniques in the areas of jazz, new music and ensemble playing - Austria, France, Germany, Belgium, Sweden, Luxembourg, UK, USA
",2012,"Moncrieff, Callum","France","yes"
"2389",720,"
              To study vibraphone performance and techniques in the areas of jazz, new music and ensemble playing - Austria, France, Germany, Belgium, Sweden, Luxembourg, UK, USA
",2012,"Moncrieff, Callum","Germany","yes"
"2390",720,"
              To study vibraphone performance and techniques in the areas of jazz, new music and ensemble playing - Austria, France, Germany, Belgium, Sweden, Luxembourg, UK, USA
",2012,"Moncrieff, Callum","Belgium","yes"
"2391",720,"
              To study vibraphone performance and techniques in the areas of jazz, new music and ensemble playing - Austria, France, Germany, Belgium, Sweden, Luxembourg, UK, USA
",2012,"Moncrieff, Callum","Sweden","yes"
"2392",720,"
              To study vibraphone performance and techniques in the areas of jazz, new music and ensemble playing - Austria, France, Germany, Belgium, Sweden, Luxembourg, UK, USA
",2012,"Moncrieff, Callum","Luxembourg","yes"
"2393",720,"
              To study vibraphone performance and techniques in the areas of jazz, new music and ensemble playing - Austria, France, Germany, Belgium, Sweden, Luxembourg, UK, USA
",2012,"Moncrieff, Callum","UK","yes"
"2394",720,"
              To study vibraphone performance and techniques in the areas of jazz, new music and ensemble playing - Austria, France, Germany, Belgium, Sweden, Luxembourg, UK, USA
",2012,"Moncrieff, Callum","USA","yes"
"2395",721,"
              To strengthen support for near drowning survivors and develop an understanding of the morbidity issues associated with near drowning - Ireland, USA, United Arab Emirates, South Africa
",2012,"Morris, Michael","Ireland","yes"
"2396",721,"
              To strengthen support for near drowning survivors and develop an understanding of the morbidity issues associated with near drowning - Ireland, USA, United Arab Emirates, South Africa
",2012,"Morris, Michael","USA","yes"
"2397",721,"
              To strengthen support for near drowning survivors and develop an understanding of the morbidity issues associated with near drowning - Ireland, USA, United Arab Emirates, South Africa
",2012,"Morris, Michael","United Arab Emirates","yes"
"2398",721,"
              To strengthen support for near drowning survivors and develop an understanding of the morbidity issues associated with near drowning - Ireland, USA, United Arab Emirates, South Africa
",2012,"Morris, Michael","South Africa","yes"
"2399",722,"
              The Northern Districts Education Centre (Sydney) Churchill Fellowship to assess environments which successfully re-engage and re-ignite learning in middle year (10-15 years) students - Finland, UK, USA
",2012,"Mulcahy, Margaret","Finland","yes"
"2400",722,"
              The Northern Districts Education Centre (Sydney) Churchill Fellowship to assess environments which successfully re-engage and re-ignite learning in middle year (10-15 years) students - Finland, UK, USA
",2012,"Mulcahy, Margaret","UK","yes"
"2401",722,"
              The Northern Districts Education Centre (Sydney) Churchill Fellowship to assess environments which successfully re-engage and re-ignite learning in middle year (10-15 years) students - Finland, UK, USA
",2012,"Mulcahy, Margaret","USA","yes"
"2402",723,"
              The Australian Biological Resources Study Churchill Fellowship to study genomics and biodiversity of the endangered cycads of Australia and Asia - USA, Mexico
",2012,"Nagalingum, Nathalie","USA","yes"
"2403",723,"
              The Australian Biological Resources Study Churchill Fellowship to study genomics and biodiversity of the endangered cycads of Australia and Asia - USA, Mexico
",2012,"Nagalingum, Nathalie","Mexico","yes"
"2404",724,"
              To assess strategies for reducing health and business impacts of severe and extreme heatwaves - USA, UK, Germany
",2012,"Nairn, John","USA","yes"
"2405",724,"
              To assess strategies for reducing health and business impacts of severe and extreme heatwaves - USA, UK, Germany
",2012,"Nairn, John","UK","yes"
"2406",724,"
              To assess strategies for reducing health and business impacts of severe and extreme heatwaves - USA, UK, Germany
",2012,"Nairn, John","Germany","yes"
"2407",725,"
              To undertake an intensive study of approaches designed to encourage and support young developing voices - UK, Czech Republic
",2012,"Nixon, Dianna","UK","yes"
"2408",725,"
              To undertake an intensive study of approaches designed to encourage and support young developing voices - UK, Czech Republic
",2012,"Nixon, Dianna","Czech Republic","yes"
"2409",726,"
              To research successful international writers festivals using effective and innovative programming and governance strategies to remain relevant and valued by their communities and stakeholders - India, UK
",2012,"O'Hara, Jane","India","yes"
"2410",726,"
              To research successful international writers festivals using effective and innovative programming and governance strategies to remain relevant and valued by their communities and stakeholders - India, UK
",2012,"O'Hara, Jane","UK","yes"
"2411",727,"
              To strengthen the capability and career options for Aboriginal people working in the human services sector - New Zealand, USA, Canada
",2012,"O'Toole, Sean","New Zealand","yes"
"2412",727,"
              To strengthen the capability and career options for Aboriginal people working in the human services sector - New Zealand, USA, Canada
",2012,"O'Toole, Sean","USA","yes"
"2413",727,"
              To strengthen the capability and career options for Aboriginal people working in the human services sector - New Zealand, USA, Canada
",2012,"O'Toole, Sean","Canada","yes"
"2414",728,"
              To investigate arts precincts that contribute to civic renewal and cultural identity - Sweden, Denmark, Austria, France, UK
",2012,"Paton, Kaz (Karen)","Sweden","yes"
"2415",728,"
              To investigate arts precincts that contribute to civic renewal and cultural identity - Sweden, Denmark, Austria, France, UK
",2012,"Paton, Kaz (Karen)","Denmark","yes"
"2416",728,"
              To investigate arts precincts that contribute to civic renewal and cultural identity - Sweden, Denmark, Austria, France, UK
",2012,"Paton, Kaz (Karen)","Austria","yes"
"2417",728,"
              To investigate arts precincts that contribute to civic renewal and cultural identity - Sweden, Denmark, Austria, France, UK
",2012,"Paton, Kaz (Karen)","France","yes"
"2418",728,"
              To investigate arts precincts that contribute to civic renewal and cultural identity - Sweden, Denmark, Austria, France, UK
",2012,"Paton, Kaz (Karen)","UK","yes"
"2419",729,"
              The Stuart and Norma Leslie Churchill Fellowship to advance the arts in Australia through the teaching of elite vocational ballet in Australia's national school - USA
",2012,"Pavane, Lisa","USA","yes"
"2420",730,"
              To research culturally diverse ambition and aspiration building programs that inspire youth of low socioeconomic status or disadvantaged backgrounds to continue their studies - South Africa, UK, Spain, Brazil
",2012,"Payne, Corey","South Africa","yes"
"2421",730,"
              To research culturally diverse ambition and aspiration building programs that inspire youth of low socioeconomic status or disadvantaged backgrounds to continue their studies - South Africa, UK, Spain, Brazil
",2012,"Payne, Corey","UK","yes"
"2422",730,"
              To research culturally diverse ambition and aspiration building programs that inspire youth of low socioeconomic status or disadvantaged backgrounds to continue their studies - South Africa, UK, Spain, Brazil
",2012,"Payne, Corey","Spain","yes"
"2423",730,"
              To research culturally diverse ambition and aspiration building programs that inspire youth of low socioeconomic status or disadvantaged backgrounds to continue their studies - South Africa, UK, Spain, Brazil
",2012,"Payne, Corey","Brazil","yes"
"2424",731,"
              To examine the maritime enforcement operations of the UK Border Agency and their relevance to Torres Strait Treaty Movements at the Australian-PNG border - UK
",2012,"Pedersen, Peter","UK","yes"
"2425",732,"
              The James Love Churchill Fellowship to study brass and woodwind instrument repair, assembly and construction - France, Germany, UK, China, USA
",2012,"Pelekanos, Sally","France","yes"
"2426",732,"
              The James Love Churchill Fellowship to study brass and woodwind instrument repair, assembly and construction - France, Germany, UK, China, USA
",2012,"Pelekanos, Sally","Germany","yes"
"2427",732,"
              The James Love Churchill Fellowship to study brass and woodwind instrument repair, assembly and construction - France, Germany, UK, China, USA
",2012,"Pelekanos, Sally","UK","yes"
"2428",732,"
              The James Love Churchill Fellowship to study brass and woodwind instrument repair, assembly and construction - France, Germany, UK, China, USA
",2012,"Pelekanos, Sally","China","yes"
"2429",732,"
              The James Love Churchill Fellowship to study brass and woodwind instrument repair, assembly and construction - France, Germany, UK, China, USA
",2012,"Pelekanos, Sally","USA","yes"
"2430",733,"
              The Nancy Fairfax Churchill Fellowship to research innovative collaborative early childhood educator training programs in Indigenous communities - Canada, USA
",2012,"Porter, Tania","Canada","yes"
"2431",733,"
              The Nancy Fairfax Churchill Fellowship to research innovative collaborative early childhood educator training programs in Indigenous communities - Canada, USA
",2012,"Porter, Tania","USA","yes"
"2432",734,"
              To examine emerging police use of facial recognition systems and facial image comparison procedures - Israel, Netherlands, UK, USA, Canada
",2012,"Prince, Jason","Israel","yes"
"2433",734,"
              To examine emerging police use of facial recognition systems and facial image comparison procedures - Israel, Netherlands, UK, USA, Canada
",2012,"Prince, Jason","Netherlands","yes"
"2434",734,"
              To examine emerging police use of facial recognition systems and facial image comparison procedures - Israel, Netherlands, UK, USA, Canada
",2012,"Prince, Jason","UK","yes"
"2435",734,"
              To examine emerging police use of facial recognition systems and facial image comparison procedures - Israel, Netherlands, UK, USA, Canada
",2012,"Prince, Jason","USA","yes"
"2436",734,"
              To examine emerging police use of facial recognition systems and facial image comparison procedures - Israel, Netherlands, UK, USA, Canada
",2012,"Prince, Jason","Canada","yes"
"2437",735,"
              The Dr Dorothea Sandars Churchill Fellowship to investigate open source strategies for developing drugs against neglected parasitic diseases - India
",2012,"Ralph, Stuart","India","yes"
"2438",736,"
              The Jack Brockhoff Foundation Churchill Fellowship to examine new methods for designing, aligning and tuning orthotic footwear combinations for children with disabilities - Denmark, UK, USA
",2012,"Rodda, Jillian","Denmark","yes"
"2439",736,"
              The Jack Brockhoff Foundation Churchill Fellowship to examine new methods for designing, aligning and tuning orthotic footwear combinations for children with disabilities - Denmark, UK, USA
",2012,"Rodda, Jillian","UK","yes"
"2440",736,"
              The Jack Brockhoff Foundation Churchill Fellowship to examine new methods for designing, aligning and tuning orthotic footwear combinations for children with disabilities - Denmark, UK, USA
",2012,"Rodda, Jillian","USA","yes"
"2441",737,"
              To develop an integrated legislative and service system response to youth justice and child protection in the Northern Territory - UK, USA
",2012,"Rudd, Pippa","UK","yes"
"2442",737,"
              To develop an integrated legislative and service system response to youth justice and child protection in the Northern Territory - UK, USA
",2012,"Rudd, Pippa","USA","yes"
"2443",738,"
              The Mr and Mrs Gerald Frank New Churchill Fellowship to investigate new strategies and innovative treatment for patients with hand injuries - UK, Sweden, USA
",2012,"Rundus, Katherine","UK","yes"
"2444",738,"
              The Mr and Mrs Gerald Frank New Churchill Fellowship to investigate new strategies and innovative treatment for patients with hand injuries - UK, Sweden, USA
",2012,"Rundus, Katherine","Sweden","yes"
"2445",738,"
              The Mr and Mrs Gerald Frank New Churchill Fellowship to investigate new strategies and innovative treatment for patients with hand injuries - UK, Sweden, USA
",2012,"Rundus, Katherine","USA","yes"
"2446",739,"
              The Geoffrey White Churchill Fellowship to explore roles for people in their 70s, 80s and 90s specifically relating to work, volunteering, learning, sport and networks - USA, UK, Ireland
",2012,"Rungie, Mike","USA","yes"
"2447",739,"
              The Geoffrey White Churchill Fellowship to explore roles for people in their 70s, 80s and 90s specifically relating to work, volunteering, learning, sport and networks - USA, UK, Ireland
",2012,"Rungie, Mike","UK","yes"
"2448",739,"
              The Geoffrey White Churchill Fellowship to explore roles for people in their 70s, 80s and 90s specifically relating to work, volunteering, learning, sport and networks - USA, UK, Ireland
",2012,"Rungie, Mike","Ireland","yes"
"2449",740,"
              To investigate the adoption of a recovery paradigm to tackle drug problems - USA, UK
",2012,"Ryan, John","USA","yes"
"2450",740,"
              To investigate the adoption of a recovery paradigm to tackle drug problems - USA, UK
",2012,"Ryan, John","UK","yes"
"2451",741,"
              To facilitate the development of a training program for delivery of a novel psychosocial intervention to enhance end of life care - New Zealand, Canada, UK
",2012,"Searles, Sherryl","New Zealand","yes"
"2452",741,"
              To facilitate the development of a training program for delivery of a novel psychosocial intervention to enhance end of life care - New Zealand, Canada, UK
",2012,"Searles, Sherryl","Canada","yes"
"2453",741,"
              To facilitate the development of a training program for delivery of a novel psychosocial intervention to enhance end of life care - New Zealand, Canada, UK
",2012,"Searles, Sherryl","UK","yes"
"2454",742,"
              The Justice James Muirhead Churchill Fellowship to investigate strategies for increasing the cultural integrity of court processes for Aboriginal young people and their families in the Northern Territory Youth Justice System - USA, Canada, New Zealand
",2012,"Sharp, Jared","USA","yes"
"2455",742,"
              The Justice James Muirhead Churchill Fellowship to investigate strategies for increasing the cultural integrity of court processes for Aboriginal young people and their families in the Northern Territory Youth Justice System - USA, Canada, New Zealand
",2012,"Sharp, Jared","Canada","yes"
"2456",742,"
              The Justice James Muirhead Churchill Fellowship to investigate strategies for increasing the cultural integrity of court processes for Aboriginal young people and their families in the Northern Territory Youth Justice System - USA, Canada, New Zealand
",2012,"Sharp, Jared","New Zealand","yes"
